issue_id,title,severity,status,affected_customers,workaround_available,workaround,engineering_ticket,expected_resolution,last_updated
KI-001,Search performance degradation for large document sets (>5M documents),High,Active - Fix In Progress,"ACME Corp (11.2M docs), Pinnacle Systems (8.7M docs), CloudSync Systems (6.1M docs)",Yes,Use specific filters (date range; document type; author) to narrow search scope before querying. This reduces Elasticsearch query scope significantly.,ENG-2847,April 15 2026,2026-03-19
KI-002,Document upload intermittent failure for files between 50MB and 200MB,Medium,Active - Fix In Progress,"ACME Corp, GlobalTech Inc (reported but lower frequency)",Yes,Split files into smaller segments under 50MB. Compression reduces file sizes significantly for PDFs.,ENG-2751,April 8 2026,2026-03-14
KI-003,Search returns deleted documents for up to 15 minutes after deletion,Medium,Active - Fix In Progress,All customers (low frequency),Yes,Refresh search after 20 minutes if a deleted document still appears in results.,ENG-2916,April 22 2026,2026-03-18
KI-004,Mobile app iOS crashes when previewing PDFs with more than 20 pages,Medium,Active - Investigation,SkyBridge Ltd (primary reporter); estimated 8% of mobile users affected,Yes,Download PDF to device and open with native PDF viewer instead of in-app preview.,ENG-2923,May 2026 mobile release,2026-03-19
KI-005,Analytics dashboard shows incorrect user count for parent accounts with sub-accounts,Low,Active - Fix Planned,"GlobalTech Inc, Pinnacle Systems",Yes,Navigate to each sub-account separately and aggregate counts manually. Or use Analytics API with parent tenant_id.,ENG-2789,May 2026 (Sprint 42-43),2026-03-10
KI-006,Search export CSV does not properly quote fields containing commas,Low,Active - Fix Planned,All customers using CSV export with documents that have commas in metadata fields,Yes,Use JSON export format instead of CSV. JSON correctly handles all special characters.,ENG-2899,April 22 2026,2026-03-15
KI-007,AI summarization returns empty response for scanned PDFs without embedded text,Medium,Active - Fix In Progress,Customers using AI features with scanned documents,Yes,"Use AI summarization only on documents with embedded text (most modern PDFs, Word docs). Scanned documents must first be processed through an OCR tool externally.",ENG-2863,April 22 2026,2026-03-10
KI-008,Search filter by tag causes 500 error when tag contains special characters (% [ ] { }),Medium,Active - Fix In Progress,All customers using tag-based search filters with special character tags,Yes,Remove special characters from tag names. Use alphanumeric characters and hyphens only in tags.,ENG-2930,April 8 2026,2026-03-17
KI-009,Kafka consumer lag during peak hours causes notification delays of 5-10 minutes,Medium,Active - Fix In Progress,All customers - affects document upload confirmations and workflow notifications during 9-10 AM PT,Yes,No direct workaround. Notifications will arrive but may be delayed during peak hours.,ENG-2911,April 15 2026,2026-03-19
KI-010,Mobile app search results page fails to paginate on iOS 17.3+,Low,Active - Investigation,iOS 17.3+ mobile app users only (estimated 35% of mobile users),Yes,Use web browser (Safari or Chrome) instead of the mobile app for searches requiring multiple result pages.,ENG-2823,May 2026 mobile release,2026-03-10
KI-011,Workflow automation email notifications show timestamps in UTC instead of user timezone,Low,Resolved - Deployed March 8 2026,Meridian Enterprises (primary reporter),No,Fixed in v2.13.2 deployed March 8 2026,ENG-2871,Resolved March 8 2026,2026-03-08
KI-012,SSO login fails for Azure AD tenants with MFA when challenge takes >30 seconds,Low,Resolved - Deployed March 5 2026,Pinnacle Systems (primary reporter),No,Fixed in hotfix deployed March 5 2026. SAML assertion validity window increased to 300 seconds.,ENG-2808,Resolved March 5 2026,2026-03-05
KI-013,SCIM user sync fails when user group name contains an apostrophe,Low,Resolved - Deployed March 1 2026,Meridian Enterprises,No,Fixed in v2.13.1 deployed March 1 2026,ENG-2856,Resolved March 1 2026,2026-03-01
KI-014,Search suggestion (autocomplete) not working for queries starting with numbers,Low,Active - Fix Planned,All customers,Yes,Type the full search term without relying on autocomplete for numeric-prefixed queries.,ENG-2905,May 2026,2026-03-05
KI-015,Bulk document import stops processing after 1000 documents silently,Medium,Resolved - Deployed March 4 2026,GlobalTech Inc,No,Fixed in v2.13.1. Bulk import now correctly handles unlimited document counts.,ENG-2845,Resolved March 4 2026,2026-03-04
KI-016,Webhook delivery retry incorrectly handles 429 response from customer endpoint,Low,Resolved - Deployed February 1 2026,GlobalTech Inc (primary reporter),No,Fixed in v2.12.0 deployed February 1 2026,ENG-2892,Resolved February 1 2026,2026-02-01
KI-017,Invoice PDF generation fails for accounts with more than 500 licensed users,Low,Resolved - Deployed March 12 2026,"ACME Corp (487 users), SkyBridge Ltd",No,Fixed in v2.13.2. Invoice PDFs now generated asynchronously for large accounts.,ENG-2867,Resolved March 12 2026,2026-03-12
KI-018,Slack integration sends duplicate notifications when Slack API returns 503,Low,Resolved - Deployed March 13 2026,Meridian Enterprises,No,Fixed in v2.13.2 via idempotency key implementation.,ENG-2883,Resolved March 13 2026,2026-03-13
KI-019,Password rate limiting not enforced on password reset endpoint,Medium,Active - Fix In Progress,None (security hardening - no active exploitation reported),No,No customer-facing workaround needed. Internal security fix in progress.,ENG-2765,Q2 2026 (Sprint 42),2026-03-08
KI-020,Welsh language documents not indexed for search (no Welsh language analyzer),Low,Active - Fix Planned,SkyBridge Ltd,Yes,Welsh documents are stored and downloadable but not searchable by content. Index by metadata (title; tags) using English terms as a workaround.,ENG-2935,April 2026,2026-03-18
