bug_id,title,severity,status,assigned_to,reported_by,created_date,resolved_date,component,description,customer_impacted,sprint
ENG-2847,Search results taking 8-12 seconds for large document sets,P1,In Progress,Rajesh Kumar,James Harrington (ACME Corp),2026-03-10,,Search,Elasticsearch queries on indices with >10M documents consistently return results in 8-12 seconds at p99. Root cause traced to suboptimal shard allocation and missing field data cache configuration for large indices. Dedicated node pool migration in progress.,ACME Corp; Pinnacle Systems,Sprint 41
ENG-2751,Document upload failing intermittently for files >50MB,P2,In Progress,Wei Zhang,Lisa Park (ACME Corp),2026-03-01,,Document Service,Multipart upload to S3 fails intermittently for files between 50MB and 200MB. Error: 'Upload timeout after 30s'. Occurs roughly 15% of the time on enterprise-tier uploads. S3 presigned URL generation appears to have an inconsistent timeout configuration.,ACME Corp; GlobalTech Inc,Sprint 41
ENG-2801,Search total_count incorrect when using date range filters,P2,Resolved,Aisha Okonkwo,Elena Vasquez (Internal),2026-02-14,2026-03-05,Search,"The total_count field in search API responses was incorrect (off by up to 12%) when date range filters were applied. Root cause: count query did not apply the same post-filter as the results query. Fixed by aligning count and results queries.",None (internal),Sprint 40
ENG-2834,Semantic search ranking inconsistent for short queries,P2,Resolved,Dmitri Petrov,Product Team QA,2026-02-18,2026-03-02,Search,Short queries (1-2 words) produced inconsistent ranking in hybrid BM25+vector mode. Vector similarity was over-weighted for short queries with low specificity. Fixed by introducing query-length-based weight adjustment.,None (internal),Sprint 40
ENG-2765,Insufficient rate limiting on password reset endpoint,P2,In Progress,Anita Sharma,Rapid7 (Pentest),2025-11-03,,Auth,Password reset endpoint allows unlimited attempts without rate limiting. Identified in October 2025 pentest. Allows brute-force email enumeration. Fix: implement per-IP and per-email rate limiting (10 attempts/hour).,None (security risk),Sprint 42
ENG-2878,Missing audit log for bulk document delete operations,P2,In Progress,Tom Okafor,Anita Sharma (Security),2026-01-15,,Audit,Bulk document deletion via DELETE /v2/documents/bulk does not write to the Audit Service. Individual deletions are logged correctly. Required for SOC 2 compliance (CC6.3). Fix: add Audit Service call in bulk delete handler.,All customers (compliance gap),Sprint 41
ENG-2879,Incomplete automated certificate rotation for internal services,P2,Resolved,Kevin Osei,Anita Sharma (Security),2026-01-15,2026-02-20,Infrastructure,3 internal service certificates (workflow-service.novatech.internal; integration-service.novatech.internal; admin-service.novatech.internal) were not covered by cert-manager auto-rotation. Manual rotation required. Fixed by adding cert-manager Certificate resources for all services.,None (internal risk),Sprint 39
ENG-2892,Webhook delivery retry not honoring 429 response,P2,Resolved,Wei Zhang,Customer Success,2026-01-08,2026-02-01,Notification,Webhook retry logic was treating 429 (Too Many Requests) from customer endpoints as a permanent failure and stopping retries after first 429. Should retry with backoff per spec. Fixed in January 2026 release.,GlobalTech Inc,Sprint 39
ENG-2894,XSS vulnerability in document title rendering (admin UI),P1,Resolved,Anita Sharma,Snyk SAST,2026-02-28,2026-03-08,Admin UI,Snyk SAST scan identified stored XSS vulnerability in document title field rendering in admin UI. Document titles were rendered without HTML entity encoding. Fixed by adding DOMPurify sanitization. Patched in hotfix release March 8 2026.,None (internal admin UI only),Sprint 40
ENG-2895,SQL injection risk in analytics date filter,P1,Resolved,Tom Okafor,Snyk SAST,2026-02-28,2026-03-10,Analytics,Snyk identified potential SQL injection in analytics endpoint date filter parameter. Parameter was passed directly to raw SQL query without parameterization. Fixed by converting to SQLAlchemy parameterized query.,None (blocked by auth),Sprint 40
