department,category,q1_budget,q1_actual,q2_budget,q2_actual,q3_budget,q3_forecast,q4_budget,annual_budget,annual_forecast
Engineering,headcount,2100000,2134500,2150000,2189000,2200000,2210000,2250000,8700000,8733500
Engineering,software_tools,85000,82340,87000,88100,89000,89000,91000,352000,349440
Engineering,travel,18000,15600,22000,19800,20000,19000,18000,78000,74400
Engineering,contractors,120000,145000,130000,128000,140000,135000,150000,540000,543000
Engineering,facilities,95000,95000,97000,97000,99000,99000,101000,392000,391000
Engineering,training,15000,12400,15000,14200,15000,14500,15000,60000,56100
Sales,headcount,980000,1005000,1020000,1048000,1060000,1065000,1100000,4160000,4183000
Sales,software_tools,45000,43200,47000,46800,48000,47500,50000,190000,187500
Sales,travel,95000,88500,98000,92000,100000,96000,105000,398000,376500
Sales,contractors,30000,28000,32000,30000,34000,32000,36000,132000,122000
Sales,marketing_spend,0,0,0,0,0,0,0,0,0
Sales,facilities,55000,55000,57000,57000,59000,59000,61000,232000,231000
Marketing,headcount,520000,508000,540000,535000,560000,555000,580000,2200000,2183000
Marketing,software_tools,38000,39400,40000,41200,42000,42000,44000,164000,163600
Marketing,travel,32000,28800,35000,31500,34000,32000,33000,134000,124300
Marketing,contractors,75000,82000,80000,78000,85000,83000,90000,330000,327000
Marketing,marketing_spend,310000,298000,325000,318000,340000,335000,360000,1335000,1306000
Marketing,facilities,28000,28000,29000,29000,30000,30000,31000,118000,117000
Customer_Success,headcount,680000,672000,700000,718000,720000,722000,740000,2840000,2834000
Customer_Success,software_tools,22000,21500,23000,22800,24000,23500,25000,94000,91800
Customer_Success,travel,28000,25200,30000,27000,29000,27500,28000,115000,104700
Customer_Success,contractors,15000,12000,16000,15000,17000,16000,18000,66000,58000
Customer_Success,facilities,38000,38000,39000,39000,40000,40000,41000,158000,157000
G_and_A,headcount,420000,415000,430000,428000,440000,438000,450000,1740000,1719000
G_and_A,software_tools,32000,30800,33000,32500,34000,33000,35000,134000,129300
G_and_A,travel,15000,13500,16000,14400,15000,14000,14000,60000,55900
G_and_A,contractors,25000,22000,26000,24000,27000,25000,28000,106000,95000
G_and_A,facilities,62000,62000,64000,64000,66000,66000,68000,260000,258000
G_and_A,legal_fees,45000,48200,46000,44000,47000,45000,48000,186000,182200
HR,headcount,310000,308000,320000,322000,330000,330000,340000,1300000,1292000
HR,software_tools,18000,17600,19000,18800,20000,19500,21000,78000,75900
HR,travel,10000,8800,11000,9900,10000,9500,10000,41000,38200
HR,contractors,20000,18000,21000,19500,22000,20500,23000,86000,76500
HR,facilities,18000,18000,19000,19000,20000,20000,21000,78000,77000
HR,recruiting,85000,92000,88000,95000,90000,92000,95000,358000,371000
Operations,headcount,280000,275000,290000,288000,300000,298000,310000,1180000,1173000
Operations,software_tools,28000,26800,29000,28500,30000,29500,31000,118000,112800
Operations,travel,8000,7200,9000,8100,9000,8500,9000,35000,31800
Operations,contractors,35000,32000,36000,34000,37000,35500,38000,146000,135500
Operations,facilities,22000,22000,23000,23000,24000,24000,25000,94000,93000
Operations,infrastructure,95000,98000,98000,101000,102000,102000,106000,401000,403000
