vendor_name,category,monthly_cost,annual_cost,contract_end_date,owner,renewal_owner,notes
AWS,Cloud Infrastructure,35000,420000,2026-12-31,Marcus Webb,Marcus Webb,"EDP contract; 15% discount negotiated Dec 2025; covers prod/staging/dev environments"
Snowflake,Data Warehouse,15667,188000,2026-08-15,Marcus Webb,Margaret Liu,"Data cloud for analytics; renewal coming Aug 2026 — target 10% reduction"
Salesforce,CRM,8750,105000,2026-11-30,Ben Alvarez,Ben Alvarez,"Sales Cloud + Service Cloud; 320 licenses; renewal includes CPQ module evaluation"
GitHub,Source Control & CI/CD,2400,28800,2027-01-31,Marcus Webb,Marcus Webb,"GitHub Enterprise; 120 developer seats"
Slack,Team Communication,3200,38400,2026-09-30,Rachel Kim,Rachel Kim,"Pro plan; 340 active users; Slack Connect for 8 enterprise customers"
Zoom,Video Conferencing,1800,21600,2026-12-31,Rachel Kim,HR,"Zoom Business+; 350 licenses; Zoom Phone add-on for sales team"
Greenhouse,Applicant Tracking,2100,25200,2026-06-30,Jennifer Walsh,Jennifer Walsh,"Core recruiting platform; CRM add-on for talent pipeline"
Carta,Equity Management,1250,15000,2027-03-31,Margaret Liu,Margaret Liu,"Cap table management and 409A valuations; ~320 option holders"
Stripe,Payment Processing,4200,50400,2027-01-31,Margaret Liu,Margaret Liu,"2.9% + $0.30 per transaction; ~$175K monthly billing volume; radar fraud tool included"
Okta,Identity & Access Management,3600,43200,2026-10-31,Marcus Webb,Marcus Webb,"SSO and MFA for all employees and customer-facing SSO product feature"
Datadog,Monitoring & Observability,6800,81600,2026-12-31,Marcus Webb,Marcus Webb,"APM + logs + infrastructure monitoring; 50 hosts; Synthetics for uptime monitoring"
PagerDuty,Incident Management,1100,13200,2026-07-31,Marcus Webb,Marcus Webb,"AIOps plan; 25 full users; 60 stakeholder licenses"
Jira,Project Management,2800,33600,2027-02-28,Marcus Webb,Rachel Kim,"Jira Software + Confluence; 180 users; Software plan"
Notion,Knowledge Management,1400,16800,2026-09-30,Rachel Kim,Rachel Kim,"Team plan; 250 users; used for company wiki and project docs"
Figma,Design,1650,19800,2026-08-31,Anita Raghavan,Anita Raghavan,"Professional plan; 12 designers + 40 viewer seats"
Gong,Revenue Intelligence,4500,54000,2026-11-30,Ben Alvarez,Ben Alvarez,"Call recording and coaching for 45 sales + CS team members"
Outreach,Sales Engagement,3800,45600,2027-01-31,Ben Alvarez,Ben Alvarez,"Sequences + Tasks + Calls; 35 sales rep licenses"
ZoomInfo,Sales Intelligence,5200,62400,2026-10-31,Ben Alvarez,Ben Alvarez,"SalesOS Professional; used by SDR team for prospecting"
Zendesk,Customer Support,4100,49200,2026-12-31,Rachel Kim,Rachel Kim,"Suite Enterprise; 40 agent seats; Guide for help center"
Intercom,In-App Messaging,2800,33600,2027-01-31,Rachel Kim,Anita Raghavan,"Product tours + live chat + in-app messages; 15K MAU"
LaunchDarkly,Feature Flags,2200,26400,2026-08-31,Marcus Webb,Marcus Webb,"Enterprise plan; powers feature flag system for 3 product tiers"
Sentry,Error Tracking,900,10800,2026-11-30,Marcus Webb,Marcus Webb,"Team plan; 5 projects; used by backend and frontend teams"
Linear,Issue Tracking (Eng),800,9600,2026-07-31,Marcus Webb,Marcus Webb,"Engineering issue tracker for product bugs and roadmap; 85 users"
Loom,Video Messaging,650,7800,2026-09-30,Rachel Kim,Rachel Kim,"Business plan; 120 users; used heavily by CS and product teams"
DocuSign,eSignature,1200,14400,2026-12-31,David Park,David Park,"Business Pro plan; used for all contract executions; 10 sender licenses"
Workday,HRIS & Payroll,3500,42000,2027-06-30,Jennifer Walsh,Jennifer Walsh,"HCM + Payroll for all US employees; benefits admin included"
Expensify,Expense Management,680,8160,2026-06-30,Margaret Liu,Margaret Liu,"Team plan; 140 active submitters; corporate card reconciliation"
TripActions,Corporate Travel,500,6000,2026-12-31,Margaret Liu,Margaret Liu,"Travel booking + policy enforcement; flat monthly platform fee + per-booking fee"
1Password,Password Management,420,5040,2026-08-31,Marcus Webb,Marcus Webb,"Business plan; 340 users; used by entire company"
Lattice,Performance Management,1800,21600,2026-11-30,Jennifer Walsh,Jennifer Walsh,"Goals + Reviews + Engagement surveys; 320 employees"
